Topic,Count,Name,Representation,Representative_Docs
9,72,9_aku_mama_kerja_gua,"['aku', 'mama', 'kerja', 'gua', 'ga', 'ibu', 'sampe', 'ayah', 'ku', 'selalu']","['dan minta maaf sama aku karna ga pernah bisa bikin keluarga yang cemara ibu sampe sekarang masih kerja dan aku sekarang kelas ibu selalu bilang untuk sukses dan kejar cita waktu itu ibu bilang ibu ikhlas kalo aku mau nyari ayah kandung ku tapi aku rasa', 'ternyata ayah kandung aku sejahat itu sama ibu jadi yang bikin aku pengen terus hidup ya ibu karna selama dia hidup aku rasa ibu ga pernah bahagia selalu rasa sakit yang dia terima sepanjang hidupnya ibu aku cuma kerja dan kerja demi aku dan ade i love ibu', 'jujur di situ sedih bgt karna mama berjuang se begitu besarnya tiap malem pusing mikirin biaya kuliah skrg aku udh kerja jd mskpn cape aku selalu inget perjuangan mama sm bpk aku biar aku bisa kuliah jd aku mau bantu lunasin hutang mama yg dipake buat aku kuliah']"
10,70,10_inkompetensi_layaknya_dino_betapa,"['inkompetensi', 'layaknya', 'dino', 'betapa', 'kompeten', 'ham', 'sedang', 'menjawab', 'anda', 'malah']","['pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham', 'pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham', 'pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham']"
11,68,11_baik_baru_lebih_tahun,"['baik', 'baru', 'lebih', 'tahun', 'melangkah', 'menyala', 'maju', 'semakin', 'semangat', 'semoga']","['selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik', 'selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik', 'selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik']"
12,68,12_layaknya_inkompetensi_dino_betapa,"['layaknya', 'inkompetensi', 'dino', 'betapa', 'kompeten', 'ham', 'sedang', 'menjawab', 'anda', 'malah']","['pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham', 'pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham', 'pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham']"
13,66,13_gaza_palestina_israel_hamas,"['gaza', 'palestina', 'israel', 'hamas', 'perdamaian', 'gencatan', 'senjata', 'turki', 'tolak', 'pasukan']","['menlu turkiye hamas tunjukkan niat positif untuk perdamaian gaza permanen israel harus miliki sikap sama', 'menlu ri buka suara soal israel tolak pasukan perdamaian turki di gaza', 'menlu turki hamas siap gencatan senjata permanen di gaza']"
14,66,14_menlu_blm_nya_gblk,"['menlu', 'blm', 'nya', 'gblk', 'apa', 'belum', 'menkeu', 'min', 'wajah', 'kemenlu']","['menlu berkata blm perlu wah malulah kaliannn udah separsh apa diaceh ituuu', 'blm perlu gak ada untung nya buat menlu', 'menlu nya bisa di aja gak']"
15,65,15_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
16,62,16_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
17,62,17_bapak_kasad_tni_bekerjasama,"['bapak', 'kasad', 'tni', 'bekerjasama', 'beserta', 'tertimpa', 'membahu', 'hormat', 'ad', 'bahu']","['atas perintah bapak presiden tni ad bergerak cepat dalam upaya penanganan serta pemulihan bagi saudara kita yg tertimpa bencana hormat dan bangga bapak kasad tni beserta seluruh jajaran yg bahu membahu dan bekerjasama', 'atas perintah bapak presiden tni ad bergerak cepat dalam upaya penanganan serta pemulihan bagi saudara kita yg tertimpa bencana hormat dan bangga bapak kasad tni beserta seluruh jajaran yg bahu membahu dan bekerjasama', 'atas perintah bapak presiden tni ad bergerak cepat dalam upaya penanganan serta pemulihan bagi saudara kita yg tertimpa bencana hormat dan bangga bapak kasad tni beserta seluruh jajaran yg bahu membahu dan bekerjasama']"
18,61,18_baik_baru_lebih_tahun,"['baik', 'baru', 'lebih', 'tahun', 'melangkah', 'menyala', 'maju', 'semakin', 'semangat', 'semoga']","['selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik', 'selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik', 'selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik']"
19,60,19_dgn_as_yg_tidak,"['dgn', 'as', 'yg', 'tidak', 'berpendirian', 'bermitra', 'sungkantakut', 'iraq', 'penurut', 'south']","['saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil']"
20,60,20_transportasi_pulihkan_bangkit_pasca,"['transportasi', 'pulihkan', 'bangkit', 'pasca', 'ekonomi', 'infrastruktur', 'pusat', 'akses', 'mobilitas', 'darurat']","['presiden prabowo bahas pemulihan akses darurat prioritas prabowo pulihkan infrastruktur demi mobilitas warga cepat pulih pemerintah pusat pastikan dukungan penuh agar ekonomi dan transportasi segera bangkit pasca bencana kita bangkit bersama', 'presiden prabowo fokus pada pemulihan akses transportasi prabowo pulihkan infrastruktur agar ekonomi warga bangkit pasca bencana', 'presiden prabowo memastikan dukungan penuh pemerintah pusat untuk akses transportasi darurat prabowo pulihkan infrastruktur demi ekonomi rakyat bangkit pasca bencana']"
21,59,21_kerja_yu_capek_mulu,"['kerja', 'yu', 'capek', 'mulu', 'dikitdikit', 'rodi', 'bang', 'definisi', 'ya', 'keras']","['harus kerja ya', 'saatnya kerja kerja kerja', 'kerja']"
22,59,22_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
23,58,23_dibandingin_atau_dikomentari_donnie,"['dibandingin', 'atau', 'dikomentari', 'donnie', 'pengamatan', 'manteman', 'syahrir', 'kejauhan', 'barusan', 'silakan']","['gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman', 'gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman', 'gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman']"
24,56,24_pembenci_mohon_maaf_bagi,"['pembenci', 'mohon', 'maaf', 'bagi', 'para', 'presiden', '', '', '', '']","['mohon maaf bagi para pembenci presiden', 'mohon maaf bagi para pembenci presiden', 'mohon maaf bagi para pembenci presiden']"
25,55,25_juga_lu_kayak_gak,"['juga', 'lu', 'kayak', 'gak', 'masing', 'sawit', 'kagak', 'nyuruh', 'tuh', 'aja']","['mengadi negeri gimana lu gak teges pas ada ruu kuhp disahkan lu gak teges pas bencana dan lu juga yang punya lahan sawit dengan luas hektar dan lu presiden dan punya sawit jujur gw takut qrt gini bentar gw gembokan dulu', 'ga nyuruh jd presiden juga si', 'gak ada yg nyuruh juga lu jadi presiden gausa ngeluh semua orang juga kerja tupoksi nya masing masing']"
26,54,26_akalakalan_merangkap_dprd_jubir,"['akalakalan', 'merangkap', 'dprd', 'jubir', 'pilkada', 'lewat', 'menlu', 'ketus', 'tampang', 'tedy']","['menlu merangkap jubir akalakalan pilkada lewat dprd', 'menlu merangkap jubir akalakalan pilkada lewat dprd', 'menlu merangkap jubir akalakalan pilkada lewat dprd']"
27,51,27_dibandingin_atau_dikomentari_donnie,"['dibandingin', 'atau', 'dikomentari', 'donnie', 'pengamatan', 'syahrir', 'manteman', 'kejauhan', 'malik', 'adam']","['gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman', 'gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman', 'gara invasi donnie ke venezuela jangan kejauhan dibandingin dengan syahrir atau agus salim atau adam malik deh coba dibandingin sama yg paling deket barusan retno marsudi silakan dikomentari kinerja menlu kita sesuai pengamatan manteman']"
28,50,28_islam_dipukul_priuk_jamaah,"['islam', 'dipukul', 'priuk', 'jamaah', 'warsidi', 'lawannya', 'contohnya', 'orba', 'jaman', 'peristiwa']","['kalau jaman orba nih tni dipukul mundur gini ga lama balik lagi bawa pasukan ratusan orang contohnya saat peristiwa priuk dan jamaah warsidi apakah karena lawannya bukan orang islam dan bukan wni', 'kalau jaman orba nih tni dipukul mundur gini ga lama balik lagi bawa pasukan ratusan orang contohnya saat peristiwa priuk dan jamaah warsidi apakah karena lawannya bukan orang islam dan bukan wni', 'kalau jaman orba nih tni dipukul mundur gini ga lama balik lagi bawa pasukan ratusan orang contohnya saat peristiwa priuk dan jamaah warsidi apakah karena lawannya bukan orang islam dan bukan wni']"
29,48,29_sekolah_rakyat_makin_kesehatan,"['sekolah', 'rakyat', 'makin', 'kesehatan', 'lewat', 'mbg', 'gratis', 'prabowo', 'skrining', 'cetak']","['makin banyak anak bangsa bisa berkembang semua garagara support presiden prabowo lewat sekolah rakyat', 'presiden prabowo buktiin pendidikan bisa jadi kunci keluar dari kemiskinan lewat sekolah rakyat', 'presiden prabowo buktikan komitmen lewat sekolah rakyat rakyat makin percaya diri']"
30,48,30_dgn_as_yg_tidak,"['dgn', 'as', 'yg', 'tidak', 'berpendirian', 'bermitra', 'sungkantakut', 'iraq', 'penurut', 'south']","['saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil']"
31,48,31_hrs_saudi_ironis_arabia,"['hrs', 'saudi', 'ironis', 'arabia', 'reynhard', 'dipojokkan', 'ahlanwasahlanibhrs', 'kriminal', 'super', 'sungguh']","['reynhard di inggris yg jelas super kriminal n memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs di saudi arabia malah dipojokkan pernyataan menko n dubes ri di saudi sungguh tak adil n ironis selamat datang hrs ahlanwasahlanibhrs', 'reynhard di inggris yg jelas super kriminal n memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs di saudi arabia malah dipojokkan pernyataan menko n dubes ri di saudi sungguh tak adil n ironis selamat datang hrs ahlanwasahlanibhrs', 'reynhard di inggris yg jelas super kriminal n memalukan indonesia diberi bantuan hukum habib rizieq shihab hrs di saudi arabia malah dipojokkan pernyataan menko n dubes ri di saudi sungguh tak adil n ironis selamat datang hrs ahlanwasahlanibhrs']"
32,47,32_pasca_pulihkan_bangkit_infrastruktur,"['pasca', 'pulihkan', 'bangkit', 'infrastruktur', 'darurat', 'akses', 'bencana', 'mobilitas', 'masyarakat', 'prabowo']","['presiden prabowo memastikan pembangunan akses darurat dipercepat supaya ekonomi warga kembali bergerak prabowo pulihkan infrastruktur sebagai jalan menuju bangkit pasca bencana', 'langkah nyata presiden prabowo fokus pada akses darurat dan pemulihan mobilitas rakyat prabowo pulihkan infrastruktur membuka jalan bangkit pasca bencana', 'presiden prabowo mendorong pembangunan akses darurat prabowo pulihkan infrastruktur supaya warga bangkit pasca bencana']"
33,45,33_dgn_as_yg_tidak,"['dgn', 'as', 'yg', 'tidak', 'berpendirian', 'bermitra', 'sungkantakut', 'iraq', 'penurut', 'south']","['saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil']"
34,44,34_pembenci_mohon_maaf_bagi,"['pembenci', 'mohon', 'maaf', 'bagi', 'para', 'presiden', '', '', '', '']","['mohon maaf bagi para pembenci presiden', 'mohon maaf bagi para pembenci presiden', 'mohon maaf bagi para pembenci presiden']"
35,44,35_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
36,44,36_kinerjanya_biasanya_sedikit_kementrian,"['kinerjanya', 'biasanya', 'sedikit', 'kementrian', 'rasanya', 'bagus', 'bawah', 'gimana', 'ya', 'salah']","['biasanya salah satu dari sedikit kementrian yg kinerjanya bagus ya kemenlu sekarang gimana ya rasanya mereka kerja di bawah orang ini', 'biasanya salah satu dari sedikit kementrian yg kinerjanya bagus ya kemenlu sekarang gimana ya rasanya mereka kerja di bawah orang ini', 'biasanya salah satu dari sedikit kementrian yg kinerjanya bagus ya kemenlu sekarang gimana ya rasanya mereka kerja di bawah orang ini']"
37,44,37_aja_jadi_ga_kan,"['aja', 'jadi', 'ga', 'kan', 'kalo', 'gitu', 'kepilih', 'kasian', 'udh', 'ih']","['lhooo gibran kok yg suru pakek kalo nipu ngaku aja udh ga jd presiden lagi kok', 'kalo bapak gua jadi presiden jg bisa gua ini ngomong kek gini gausah jadi presiden dah masih idup aja udh syukur guaa', 'ih kenapa sih kalian kayak gt ke pak prabowo jangan jahat jahat jadi orang jadi presiden kan gak gampang jangan gitu ih kasian kontol kata gue emg pantes di kata katain kalo udah tua amp gak becus gak usah jadi presiden']"
38,43,38_dgn_as_yg_tidak,"['dgn', 'as', 'yg', 'tidak', 'berpendirian', 'bermitra', 'sungkantakut', 'iraq', 'penurut', 'south']","['saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil', 'saya heran membaca pernyataan re venezuela yg sangat standar dan sama sekali tidak menyebut amerika serikat sejak kapan kita sungkantakut mengkritik kawan yg lakukan pelanggaran hukum internasional kenapa menlu sugiono sampai sekarang tidak bersuara padahal dunia menunggu pandangan sbg pemain global south yg penting ini momen perlu percaya diri menunjukkan sikap sama ketika kita dulu menentang invasi as thdp iraq bebas aktif itu artinya berani berpendirian bermitra dgn as dan dgn negara manapun tidak boleh menjadikan negara penurut yg mengorbankan hal yg prinsipil']"
